rubric_version,score,count,percent
v2,1,58,0.9
v2,2,20,0.3
v2,3,314,4.9
v2,4,2047,32.0
v2,5,3961,61.9
v3,1,190,3.0
v3,2,82,1.3
v3,3,261,4.1
v3,4,3343,52.2
v3,5,2524,39.4
